id,front,back,status,tags
268,In the case of erythema migrans diagnosed in a 4-year-old boy the following antibiotics can be used: 1) amoxicillin; 2) doxycycline; 3) cefuroxime axetil; 4) azithromycin; 5) clarithromycin,"Answer: A: 1,2,3 Explanation: Current Lyme erythema migrans therapy includes doxycycline, amoxicillin or cefuroxime; short-course doxycycline is acceptable in children of any age when indicated.",caveat/updated,pediatrics leks 2026 caveat_updated
269,Which of the following is the most common cause of haemolytic-uraemic syndrome in children?,Answer: C: contact with a person suffering from diarrhea Explanation: Exam anchor: contact with a person suffering from diarrhea. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
270,Which of the following are used in the treatment of von Willebrand disease? 1) factor VIII concentrate with von Willebrand factor; 2) factor IX concentrate; 3) intravenous immunoglobulins; 4) dexamethasone; 5) desmopressin,"Answer: B: 1,5 Caveat: Legacy A includes factor IX, IVIG and dexamethasone. vWD treatment uses desmopressin in suitable patients and vWF-containing factor concentrate when needed -> 1,5 = B. Explanation: Exam anchor: 1,5. Retain this as the single best answer for the clinical fact tested in this stem. Q271-Q300",caveat/updated,pediatrics leks 2026 caveat_updated
271,"A 2-year-old boy was admitted to the hospital because of a high fever in the last 7 days and neck lymphadenopathy. On the 5th day of the fever maculopapular eruptions occurred in the area of the crotch and on the trunk. Conjunctivitis, red lips and „strawberry” tongue were also noted. Laboratory tests showed elevated markers of inflammation (CRP), thrombocytosis, anemia, ALT = 100 U/L, AST = 85 U/L, normal coagulation tests. Which of the following diagnoses is the most probable?",Answer: B: Kawasaki disease Explanation: Exam anchor: Kawasaki disease. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
272,Which of the following is used for the prophylaxis or the treatment of bleeding in von Willebrand disease?,Answer: A: desmopressin Explanation: Exam anchor: desmopressin. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
273,The most common cause of idiopathic nephrotic syndrome in children is:,"Answer: A: minimal change nephropathy Explanation: Nephrotic syndrome = heavy proteinuria, hypoalbuminaemia, oedema and hyperlipidaemia; minimal-change disease is common in young children and is usually steroid-responsive.",valid,pediatrics leks 2026 valid
274,"Jaundice, low hemoglobin levels, high reticulocyte count, elevated indirect bilirubin levels, negative direct antiglobulin test, decreased erythrocyte osmotic resistance and abnormal EMA test result point to:",Answer: E: spherocytosis Explanation: Exam anchor: spherocytosis. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
275,A previously healthy 14-year-old girl comes to the physician because of a low-grade fever and a non-productive cough lasted for 7 days. Her temperature is 37.7°C. A few scattered inspiratory crackles are audible. An x-ray of the chest shows interstitial infiltrates and enlarged hilar lymph nodes. Which of the following is the most appropriate initial pharmacotherapy?,Answer: E: clarithromycin or azithromycin Explanation: Exam anchor: clarithromycin or azithromycin. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
276,"A 7-month-old boy presented with a 2-day history of fever up to 39 °C. General condition was good. Physical exam revealed pharyngitis only. On the day 3 temperature normalized and multiform macular, pink-red rush fading under pressure was observed,. What is the most probable aetiology of the presented case?",Answer: B: human herpes virus type 6 (HHV-6) Explanation: Exam anchor: human herpes virus type 6 (HHV-6). Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
277,"Pleocytosis of 600 cell/µl, with high neutrophil prevalence, high protein concentration (1.5 g/l), high lactic acid concentration, and decreased glucose concentration (decreased cerebrospinal fluid-to-serum ratio) in cerebrospinal fluid analysis points to: 1) bacterial meningitis; 2) viral meningitis; 3) tuberculous meningitis; 4) a necessity for immediate antibiotic therapy; 5) a necessity for antibiotic therapy after positive cerebrospinal fluid culture is obtained","Answer: B: 1,4 Caveat: The source key is attached to an option that disappears in the PDF extraction. The CSF pattern is bacterial meningitis and requires immediate empiric antibiotics, so the visible combination 1 + 4 is B. Explanation: SOURCE LAYOUT CORRECTION: the displayed option A is missing. The clinically correct combination is 1 and 4; the source layout/key is malformed.",caveat/updated,pediatrics leks 2026 caveat_updated
278,The treatment recommended for acute sublaryngeal infection may include: 1) intramuscular dexamethasone; 2) inhalled budesonide; 3) inhalled adrenaline; 4) oral prednisone; 5) intramuscular adrenaline,"Answer: E: 1,2,3,4 Caveat: Legacy A omits accepted steroid/adrenaline routes. Croup treatment can include dexamethasone, nebulized budesonide and nebulized epinephrine; oral prednisolone can be used in some settings, whereas IM adrenaline is not routine -> E. Explanation: Croup: corticosteroid (usually dexamethasone; nebulized budesonide is an alternative) + nebulized epinephrine for moderate/severe disease. IM epinephrine is anaphylaxis treatment, not routine croup treatment.",caveat/updated,pediatrics leks 2026 caveat_updated
279,A control chest radiography may be indicated in children treated for pneumonia in the case of: 1) persistent abnormalities on auscultation (at the end of treatment); 2) presence of lung abscess in previous exam; 3) presence of atelectasis in previous exam; 4) presence of pleural exudate in previous exam; 5) severe course of pneumonia,"Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The source merges C/D options, and modern CAP guidance does not recommend routine follow-up radiography after uncomplicated recovery. Repeat imaging is selective for persistent/recurrent disease or complications, so the legacy combination cannot be safely used. Explanation: INVALID/MALFORMED: the option text is merged in the source. Modern CAP care does not require routine follow-up chest radiography after uncomplicated clinical recovery; repeat imaging is reserved for persistent/recurrent symptoms or complications.",invalid/outdated,pediatrics leks 2026 invalid_outdated
280,The mother of a 4-year-old child (with uncontrolled asthma) has been diagnosed with influenza (she has been symptomatic since yesterday). The child is a household contact to the mother. Please indicate the appropriate treatment for the child: 1) start oseltamivir (neuraminidase inhibitor) at a prophylactic dose; 2) recommend seeing the doctor immediately if the symptoms of influenza develop in the child; 3) start oseltamivir at a therapeutic dose if the child has a positive diagnostic test for influenza; 4) start oseltamivir at a prophylactic dose only when the child is symptomatic or has a…,"Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The source cuts off numbered statements needed to choose the answer. No combination can be audited without inventing missing source content. Explanation: SOURCE TRUNCATION: the stem cuts off statements 4-5. For a high-risk child exposed to influenza, prompt clinician contact and age-appropriate oseltamivir post-exposure prophylaxis can be considered when started within the recommended window; treat promptly if illness develops.",invalid/outdated,pediatrics leks 2026 invalid_outdated
281,"The parents checked at evening hours into emergency dept. with a 12-year-old son who suffered from nausea, vomiting, pain during micturition that radiated to the left groin area, and left lumbar pain since morning. On physical examination, tenderness in the abdominal area and positive Goldflam syndrome on the left side were noted. Laboratory test results revealed normal blood cell count and kidney function, increased CRP, and erythrocyturia in urinalysis. Abdomen ultrasound showed left-sided hydronephrosis. The left ureter was not visible. The right diagnosis is:",Answer: A: urinary system stones Explanation: Exam anchor: urinary system stones. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
282,"Indicate which of the statements regarding children with confirmed COVID-19 infection are true: 1) over 80% of the children tested have mild infection (are mildly symptomatic or asymptomatic); 2) the high risk groups include, between others, newborns, children with chronic kidney disease, children with obesity; 3) infants and children under 2 years of age always need to be seen by a doctor; 4) oxygen saturation measurement is an essential part of the examination; 5) the markers that can be useful to monitor the cytokine storm include IL-6, ferritin, LDH, and D- dimers","Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The COVID-19 statements are tied to an earlier pandemic-era epidemiology/vaccine context. Current recommendations and product availability have changed, so a fixed old combination should not be memorized. Explanation: OUTDATED COVID ITEM: most paediatric COVID remains mild, but age <2 alone does not mean every child must be examined in person. Assess severity clinically (including oxygenation when indicated); inflammatory markers such as ferritin/D-dimer are reserved for significant disease/MIS-C evaluation, not routine mild infection.",invalid/outdated,pediatrics leks 2026 invalid_outdated
